ticker,SWIndustry1,SWIndustry2,SWIndustry3
000001.SZ,801780.SI,801192.SI,851911.SI
000002.SZ,801180.SI,801181.SI,851811.SI
000004.SZ,801150.SI,801151.SI,851512.SI
000005.SZ,801160.SI,801162.SI,851641.SI
000006.SZ,801180.SI,801181.SI,851811.SI
000007.SZ,801200.SI,801205.SI,852051.SI
000008.SZ,801890.SI,801076.SI,850936.SI
000009.SZ,801230.SI,801231.SI,852311.SI
000010.SZ,801720.SI,801725.SI,857251.SI
000011.SZ,801180.SI,801181.SI,851811.SI
000012.SZ,801710.SI,801712.SI,850611.SI
000014.SZ,801180.SI,801181.SI,851811.SI
000016.SZ,801110.SI,801112.SI,851121.SI
000017.SZ,801880.SI,801881.SI,858811.SI
000019.SZ,801200.SI,801202.SI,852021.SI
000020.SZ,801080.SI,801085.SI,850851.SI
000021.SZ,801080.SI,801085.SI,850851.SI
000023.SZ,801710.SI,801713.SI,850614.SI
000025.SZ,801880.SI,801092.SI,850941.SI
000026.SZ,801140.SI,801142.SI,851434.SI
000027.SZ,801160.SI,801161.SI,851611.SI
000028.SZ,801150.SI,801154.SI,851541.SI
000029.SZ,801180.SI,801181.SI,851811.SI
000030.SZ,801880.SI,801093.SI,850921.SI
000031.SZ,801180.SI,801181.SI,851811.SI
000032.SZ,801770.SI,801102.SI,851012.SI
000034.SZ,801750.SI,801222.SI,852226.SI
000035.SZ,801160.SI,801162.SI,851641.SI
000036.SZ,801180.SI,801181.SI,851811.SI
000037.SZ,801160.SI,801161.SI,851613.SI
000038.SZ,801760.SI,801751.SI,852243.SI
000039.SZ,801890.SI,801075.SI,850751.SI
000040.SZ,801160.SI,801161.SI,851615.SI
000042.SZ,801180.SI,801181.SI,851811.SI
000045.SZ,801080.SI,801084.SI,850831.SI
000046.SZ,801180.SI,801181.SI,851811.SI
000048.SZ,801010.SI,801014.SI,850141.SI
000049.SZ,801080.SI,801085.SI,850851.SI
000050.SZ,801080.SI,801084.SI,850831.SI
000055.SZ,801720.SI,801724.SI,857244.SI
000056.SZ,801180.SI,801181.SI,851811.SI
000058.SZ,801200.SI,801205.SI,852052.SI
000059.SZ,801030.SI,801035.SI,850311.SI
000060.SZ,801050.SI,801055.SI,850553.SI
000061.SZ,801200.SI,801205.SI,852052.SI
000062.SZ,801080.SI,801082.SI,850841.SI
000063.SZ,801770.SI,801102.SI,851013.SI
000065.SZ,801720.SI,801724.SI,857243.SI
000066.SZ,801750.SI,801101.SI,851021.SI
000068.SZ,801160.SI,801162.SI,851641.SI
000069.SZ,801180.SI,801181.SI,851811.SI
000070.SZ,801770.SI,801102.SI,851013.SI
000078.SZ,801150.SI,801154.SI,851541.SI
000088.SZ,801170.SI,801171.SI,851711.SI
000089.SZ,801170.SI,801174.SI,851751.SI
000090.SZ,801180.SI,801181.SI,851811.SI
000096.SZ,801030.SI,801035.SI,850313.SI
000099.SZ,801170.SI,801173.SI,851741.SI
000100.SZ,801080.SI,801084.SI,850831.SI
000150.SZ,801150.SI,801156.SI,851561.SI
000151.SZ,801200.SI,801202.SI,852021.SI
000153.SZ,801150.SI,801151.SI,851512.SI
000155.SZ,801160.SI,801161.SI,851615.SI
000156.SZ,801760.SI,801761.SI,852224.SI
000157.SZ,801890.SI,801074.SI,850722.SI
000158.SZ,801750.SI,801222.SI,852226.SI
000159.SZ,801030.SI,801035.SI,850313.SI
000166.SZ,801790.SI,801193.SI,851931.SI
000301.SZ,801030.SI,801032.SI,850341.SI
000333.SZ,801110.SI,801111.SI,851112.SI
000338.SZ,801880.SI,801093.SI,850921.SI
000400.SZ,801730.SI,801732.SI,857321.SI
000401.SZ,801710.SI,801711.SI,850612.SI
000402.SZ,801180.SI,801181.SI,851811.SI
000403.SZ,801150.SI,801152.SI,851531.SI
000404.SZ,801110.SI,801111.SI,851115.SI
000407.SZ,801160.SI,801163.SI,851631.SI
000408.SZ,801030.SI,801034.SI,850336.SI
000409.SZ,801230.SI,801231.SI,852311.SI
000410.SZ,801890.SI,801072.SI,850711.SI
000411.SZ,801150.SI,801154.SI,851541.SI
000413.SZ,801080.SI,801084.SI,850831.SI
000415.SZ,801790.SI,801191.SI,851921.SI
000416.SZ,801790.SI,801191.SI,851921.SI
000417.SZ,801200.SI,801203.SI,852031.SI
000419.SZ,801200.SI,801203.SI,852033.SI
000420.SZ,801030.SI,801032.SI,850343.SI
000421.SZ,801160.SI,801163.SI,851631.SI
000422.SZ,801030.SI,801033.SI,850322.SI
000423.SZ,801150.SI,801155.SI,851521.SI
000425.SZ,801890.SI,801074.SI,850722.SI
000426.SZ,801050.SI,801055.SI,850553.SI
000428.SZ,801210.SI,801213.SI,852121.SI
000429.SZ,801170.SI,801175.SI,851731.SI
000430.SZ,801210.SI,801212.SI,852112.SI
000488.SZ,801140.SI,801143.SI,851411.SI
000498.SZ,801720.SI,801723.SI,857232.SI
000501.SZ,801200.SI,801203.SI,852031.SI
000502.SZ,801180.SI,801181.SI,851811.SI
000503.SZ,801150.SI,801156.SI,851561.SI
000504.SZ,801150.SI,801152.SI,851531.SI
000505.SZ,801010.SI,801012.SI,850152.SI
000506.SZ,801180.SI,801181.SI,851811.SI
000507.SZ,801170.SI,801171.SI,851711.SI
000509.SZ,801150.SI,801156.SI,851561.SI
